,Unnamed: 0,BM%,Date,S_P,Avg_Mag,RMSE_Put_IV,RMSE_Put_K,RMSE_Put_IV_ATO,RMSE_Put_K_ATO,rho,p,Maturity,Call_GSVJD,Call_Market,B_,N_,Bi^2,sigma2_est,sigma_est,Threshold_10,Threshold_5,Threshold_1,BM_%,BB_10,BUB_10,BM_%_10,BB_5,BUB_5,BM_%_5,BB_1,BUB_1,BM_%_1
59,59,-0.4806551055363314,2022-10-25,120.60000000000004,-0.5796700572768159,0.0399848291801124,0.0016298851423885,0.0421536468069941,0.0016298851423885,-0.6077798009458163,0.2789036535688685,23.99999999999997,11.12411450172126,10.544444444444446,0.23102933047814186,32.0,5.703973397168577,0.17824916866151802,0.4221956521111012,0.6944500496580868,0.8274882725671604,1.0875039325387117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,-0.660471567623897,2022-10-26,115.65999999999995,-0.763901415113799,0.0329702108597816,0.0054278559907531,0.0414426071378066,0.0054278559907531,-0.708149830827016,0.245073921149846,85.99999999999999,12.114524483331062,11.330909090909092,0.436222691639568,32.0,5.9695918127168754,0.18654974414740236,0.43191404717536375,0.7104353870276863,0.8465359768806469,1.1125368593287042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,0.1458239730471316,2022-10-27,110.96,0.1618062804930972,0.0413998867546263,0.0014771146642995,0.0665208490287436,0.0014771146642995,-0.8433987781760595,0.242201793408377,22.0,9.592855614981753,9.887533333333332,0.0,32.0,5.9695918127168754,0.18654974414740236,0.43191404717536375,0.7104353870276863,0.8465359768806469,1.1125368593287042,0.1458239730471316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,-0.1970209834945577,2022-10-28,103.40999999999998,-0.2037393990317221,0.0229634956637405,0.0029997379750226,0.0281602791990927,0.0029997379750226,-0.9999721664740752,0.5857208336996039,84.00000000000001,9.8840883270634,9.68913793103448,0.03881726793716278,33.0,6.0084090806540384,0.18207300244406177,0.42670013176007077,0.7018592593462235,0.8363168904482343,1.099106703215767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,-0.4181739799396637,2022-10-31,102.44000000000004,-0.4283774250501915,0.0161423012616301,0.0020827682005165,0.0207190881901304,0.0020827682005165,-0.9691542331842162,8.971159687520824e-05,45.99999999999997,8.382760300061022,7.946712328767125,0.17486947749857826,34.0,6.183278558152616,0.18186113406331225,0.42645179570886116,0.7014507828916885,0.8358301607318006,1.0984670319379337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64,-0.0738312238174948,2022-11-01,96.79,-0.0714612415329532,0.0238368190523781,0.0007312424196695,0.0212785645966262,0.0007312424196695,-0.7598529074737068,4.8189065802728415e-05,16.99999999999999,6.426602104898739,6.360714285714285,0.0054510496103890105,35.0,6.188729607763006,0.17682084593608588,0.4205007086035479,0.6916621156822098,0.8241662443365259,1.083138047384096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65,-0.4678051580836084,2022-11-02,92.12,-0.43094211162662,0.0225317608240664,0.0033966832545415,0.0253710400542401,0.0033966832545415,-0.9999807167337084,0.2595449722174385,78.99999999999999,7.555151167324429,7.125185185185186,0.21884166592962984,35.0,6.406771001246498,0.18305060003561424,0.4278441305377628,0.7037409698849383,0.8385590868508687,1.1020534487905704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66,-1.8134012207561812,2022-11-03,89.29999999999998,-1.6193672901352696,0.0195171191498677,0.003091761902081,0.0260959928020758,0.003091761902081,-0.9999786262770458,0.5114902268823387,77.99999999999999,9.576153004420982,7.956785714285713,3.288423987440008,36.0,9.695194988686506,0.2693109719079585,0.5189518011414533,0.8535997523205187,1.0171268399494406,1.3367312565096372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67,0.076801142226035,2022-11-04,90.97999999999998,0.0698736791972466,0.0362934505177266,0.0003812001967976,0.0221867022934051,0.0003812001967976,-0.8465314138534649,0.9895849760920816,13.999999999999986,4.1807181715799615,4.253676470588235,0.0,35.0,9.688827498693318,0.2768236428198091,0.5261403261676576,0.8654238237823022,1.0312160901027658,1.3552476699214289,0.076801142226035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,-0.1409119369393155,2022-11-07,90.52999999999996,-0.1275675765111623,0.0332060275085477,0.0015102153184114,0.0227189521589199,0.0015102153184114,-0.7945021868861822,0.0792828377225395,10.999999999999975,4.280061874986791,4.15016393442623,0.01985617397198963,35.0,9.708636918910392,0.27738962625458263,0.5266779151004745,0.866308078888255,1.0322697450495741,1.356632407247842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69,-0.6303521805072192,2022-11-08,89.97999999999998,-0.5671908920203957,0.0212441220573093,0.003689037292829,0.0233568188884592,0.0036890372928288,-0.9999744527513597,0.5111309418376674,72.99999999999999,9.061861944651977,8.494671052631578,0.39734387147020583,35.0,10.103350595522583,0.2886671598720738,0.5372775445447854,0.8837429178240714,1.053044637009894,1.3839352433772578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
