,Unnamed: 0,BM%,Date,S_P,Avg_Mag,RMSE_Put_IV,RMSE_Put_K,rho,p,Maturity,Call_GSVJD,Call_Market,B_,N_,Bi^2,sigma2_est,sigma_est,Threshold_10,Threshold_5,Threshold_1,BM_%,BB_10,BUB_10,BM_%_10,BB_5,BUB_5,BM_%_5,BB_1,BUB_1,BM_%_1
59,59,-0.5244393891060746,2022-10-25,250.6599999999999,-1.314559772733286,0.02765230991254,0.0007186473454731,-0.9999792699370422,0.2381789283268646,23.999999999999982,22.355210023355184,20.822656249999994,0.2750366728459527,41.0,2.7536414690084907,0.06716198704898758,0.25915629849376143,0.42627417752478186,0.5079370114144842,0.6675423878594965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,-0.071229255120117,2022-10-26,231.31999999999988,-0.1647675129438545,0.0321044018949079,0.0014735647968538,-0.9179638757603784,1.999837546280722,22.99999999999996,10.230364136132144,10.173000000000004,0.0050736067849667145,42.0,2.7587150757934573,0.0656836922807966,0.2562882991492132,0.4215567384008072,0.5023158359914852,0.66015491110525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61,0.0890541469959448,2022-10-27,226.75,0.201930278313305,0.0461653174489212,0.0010005158714776,-0.9527465260718128,0.2179278390384894,7.999999999999968,7.117764414393228,7.399999999999999,0.0,41.0,2.742752233227502,0.0668963959323781,0.25864337596849085,0.4254304950487454,0.5069317017380945,0.6662211869884542,0.0890541469959448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,0.0018351619509216,2022-10-28,235.86999999999992,0.0043285964936389,0.0479727131729534,0.0014620433850259,-0.9999823215646512,7.383476452849091e-05,20.99999999999997,16.414296433752256,16.518676470588233,0.0,41.0,2.742752233227502,0.0668963959323781,0.25864337596849085,0.4254304950487454,0.5069317017380945,0.6662211869884542,0.0018351619509216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63,0.1646296022065332,2022-10-31,232.13000000000008,0.3821546956020257,0.0293064133537752,0.0018624054638397,-0.0701754721427465,0.2059026746593763,17.999999999999975,6.712789775479009,7.095192307692307,0.0,41.0,2.742752233227502,0.0668963959323781,0.25864337596849085,0.4254304950487454,0.5069317017380945,0.6662211869884542,0.1646296022065332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64,-0.1607056643547647,2022-11-01,228.17000000000004,-0.3666821143582667,0.0261327214775256,0.0007636775901064,-0.9999818908328172,1.3050994279279415,16.99999999999998,9.363905125894917,8.972758620689655,0.025826310555706285,41.0,2.7685382864409984,0.06752532405953654,0.2598563527403872,0.42742566429140705,0.5093090925250952,0.6693456081020289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65,0.0585818621159383,2022-11-02,220.1,0.1289386785171803,0.0408574773060146,0.0018006998749919,-0.999962038565975,8.000926273477038e-05,8.999999999999988,6.160691537535161,6.447499999999998,0.0,40.0,2.7520127887782504,0.06880031971945626,0.2622981504308718,0.4314420640788823,0.514094928055978,0.6756352621465171,0.0585818621159383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66,0.0048931124627872,2022-11-03,214.25,0.0104834934515216,0.0253274785782006,0.0008161872669566,-0.7422735609027643,4.3825589005286325e-05,7.999999999999968,4.91608840889276,4.93685185185185,0.0,39.0,2.751520056160202,0.07055179631180006,0.26561588113627554,0.436899245462914,0.520597560748972,0.6841811701187801,0.0048931124627872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67,-0.4714778149004899,2022-11-04,221.3900000000001,-1.043804734408195,0.0220211071304873,0.0011016162807358,-0.7827374630306467,0.3748712835290368,13.999999999999991,9.483427008178724,8.352000000000002,0.2222913299433406,39.0,2.972417772017684,0.07621584030814575,0.27607216503687176,0.45409830196124396,0.5410915006062665,0.7111147725961625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68,-0.1521369838971528,2022-11-07,227.86999999999995,-0.3466745452064422,0.0086089811878098,0.0009299908823179,-0.9999837894038992,1.3581340110315916,38.99999999999997,12.40895941239538,12.058000000000003,0.023145661869322532,39.0,2.9955339672009367,0.07680856326156248,0.2771435787846481,0.45586062075023953,0.5431914329644494,0.71387455152391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69,0.0395429308083455,2022-11-08,228.86999999999992,0.0905019057410603,0.0425726989670653,0.0018252642096487,-0.9270268967332634,0.0633933544966665,10.0,8.032835847584398,8.213928571428573,0.0,38.0,2.961815011752982,0.077942500309289,0.27918184093756704,0.45921326364514614,0.5471863533752215,0.7191247669057131,0.0395429308083455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,70,0.623535750763975,2022-11-09,224.51000000000008,1.399900114040201,0.003375114742687,0.0049378462949303,-0.5957285982800737,0.5885160157179448,100.00000000000004,11.836380374895016,13.243611111111116,0.0,37.0,2.8352839819318354,0.07662929680896853,0.27681997183904294,0.4553283346920542,0.5425571750059162,0.7130409952705882,0.623535750763975,0.623535750763975,429.3700000000004,0.623535750763975,0.623535750763975,429.3700000000004,0.623535750763975,0.0,0.0,0.0
