,Unnamed: 0,BM%,Date,S_P,Avg_Mag,RMSE_Put_IV,RMSE_Put_K,rho,p,Maturity,Call_GSVJD,Call_Market,B_,N_,Bi^2,sigma2_est,sigma_est,Threshold_10,Threshold_5,Threshold_1,BM_%,BB_10,BUB_10,BM_%_10,BB_5,BUB_5,BM_%_5,BB_1,BUB_1,BM_%_1
293,293,0.2526953110072942,2023-10-03,300.94000000000005,0.7604612689453515,0.009760116798571,0.0003212119240498,-0.999984327935321,0.0684045418632511,16.99999999999999,26.77670089321681,27.53716216216216,0.0,80.0,7.261477087218745,0.09076846359023431,0.3012780502961248,0.49555829375044896,0.5904941279128516,0.7760408304688378,0.2526953110072942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,294,-0.0064749893202778,2023-10-04,305.58,-0.019786272364905,0.0075288473755995,0.0008068118087737,-0.1537416256507882,0.2301857515819103,8.999999999999988,21.86699263454876,21.94620689655172,4.1925486697711574e-05,81.0,7.261519012705443,0.0896483828729067,0.29941339795157246,0.49249121357850845,0.5868394764738408,0.7712378043188086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,295,0.0355159765265571,2023-10-05,304.7900000000002,0.1082491448552936,0.0089961226336285,0.0003395262033958,-0.9999718868171116,0.2329864548457242,7.99999999999997,23.222308505342024,23.443225806451625,0.0,81.0,7.261519012705443,0.0896483828729067,0.29941339795157246,0.49249121357850845,0.5868394764738408,0.7712378043188086,0.0355159765265571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,296,-0.0365335816536676,2023-10-06,315.43,-0.1152378766101638,0.0128206967587997,0.000323823733835,-0.999981596171256,0.4206556466772964,13.999999999999986,36.9975114219208,36.74178571428571,0.001334702588445198,81.0,5.6903241263727455,0.07025091514040427,0.26504889198109144,0.43596663129456725,0.5194862824251864,0.6827207028380625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,297,0.1175001748675416,2023-10-10,321.84,0.3781625627936962,0.0095230547704633,0.0005315209096468,-0.6227531640924184,0.0980501281086063,10.0,36.4254086281997,36.84256097560975,0.0,81.0,5.6903241263727455,0.07025091514040427,0.26504889198109144,0.43596663129456725,0.5194862824251864,0.6827207028380625,0.1175001748675416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298,298,-0.0507215535016378,2023-10-11,327.81999999999994,-0.1662753966890691,0.0113428909590059,0.0002940806872201,-0.6104940549773602,0.2322861266265613,8.999999999999988,34.73477563561633,34.46815789473685,0.002572675989619506,81.0,5.672533715026997,0.07003128043243206,0.26463423896471155,0.4352845877766484,0.5186735774470009,0.6816526274476662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,299,-0.1098093596360468,2023-10-12,324.16,-0.3559580201962094,0.007805661441207,0.0005037349107984,-0.2453064407633193,0.3326451096858772,7.99999999999997,31.854969224982312,31.483243243243237,0.012058095463678663,81.0,5.559262073123198,0.06863286510028639,0.2619787493295714,0.43091669601895605,0.5134689134008067,0.6748125394302018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,300,1.014846121596748,2023-10-13,314.69000000000005,3.1936192600528077,0.0096524291627681,0.0009614677257345,-0.9999682145418638,1.1225048040659784,98.00000000000006,70.38019652942087,73.57381578947368,0.0,80.0,4.065643353928902,0.05082054192411127,0.2254341188110426,0.37080612796495255,0.44184275375616705,0.580679809253208,1.014846121596748,1.014846121596748,527.34,1.014846121596748,1.014846121596748,527.34,1.014846121596748,1.014846121596748,527.34,1.014846121596748
301,301,-0.1815077928555903,2023-10-16,321.1499999999999,-0.5829122767557282,0.0071558240740033,0.0013047811274646,-0.9999629113056572,0.2761759588544835,32.0,60.33855860160597,59.70828571428572,0.032945078867307874,80.0,4.075463002573182,0.050943287532164774,0.22570619737208097,0.37125365737289223,0.44237601793676773,0.581380637183598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,302,-0.0715831672044973,2023-10-17,324.0,-0.2319294617425714,0.023292177500213,0.0008749137950059,-0.8778100656519757,0.0499247073865717,10.000000000000004,23.17613866432808,22.894555555555552,0.005124149827027018,81.0,4.080587152400209,0.050377619165434685,0.22444959159115146,0.3691867247964821,0.43991311586338105,0.5781438351900708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
