,Unnamed: 0,BM%,Date,S_P,Avg_Mag,RMSE_Put_IV,RMSE_Put_K,RMSE_Put_IV_ATO,RMSE_Put_K_ATO,rho,p,Maturity,Call_GSVJD,Call_Market,B_,N_,Bi^2,sigma2_est,sigma_est,Threshold_10,Threshold_5,Threshold_1,BM_%,BB_10,BUB_10,BM_%_10,BB_5,BUB_5,BM_%_5,BB_1,BUB_1,BM_%_1
358,358,0.0632469835040971,2024-01-08,522.5299999999999,0.3304844629039586,0.022470899607048,0.0006932054111451,0.0189893667484483,0.0006932054111451,-0.999972041718602,0.9428182348307528,10.999999999999975,53.89741778679145,54.258,0.0,82.0,51.649281137241786,0.6298692821614852,0.7936430445493019,1.305426640331728,1.5555117838973493,2.0442890107078573,0.0632469835040971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,359,0.0939429755161834,2024-01-09,531.4000000000001,0.4992129718929991,0.0174578168076693,0.0012484383882111,0.0188098112828973,0.0012484383882111,-0.9152507106589582,1.3164463219945208,10.000000000000004,54.54655549772158,55.04740506329115,0.0,81.0,51.59245690810208,0.6369439124457047,0.7980876596249967,1.312737381559388,1.564223069370855,2.0557375804628273,0.0939429755161834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,360,0.1042655797221628,2024-01-10,543.5,0.5666834257899549,0.019798905479422,0.0008262640953898,0.0194369422004065,0.0008262640953898,-0.7349048202388494,1.049101385975674,8.999999999999984,56.64990661714967,57.2454375,0.0,80.0,51.59240385064441,0.6449050481330552,0.803059803584425,1.3209158305847783,1.5739682924572826,2.068544974574986,0.1042655797221628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361,361,-0.0848924352074563,2024-01-11,548.2200000000003,-0.4653973082943176,0.0256833934824997,0.0014345034653553,0.0209653431476431,0.0014345034653553,-0.6296214986511313,1.0837325771491226,7.999999999999968,51.50544724975646,51.03314102564103,0.007206725555452167,80.0,51.341146446549224,0.6417643305818653,0.8011019476832305,1.3176954442046502,1.5701309654040223,2.063501871972563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,362,0.6267122483491905,2024-01-12,547.0999999999999,3.4287427107184203,0.0241351106838123,0.000902647734234,0.0219553687550086,0.000902647734234,-0.7553949141253317,1.2214045598031953,63.000000000000014,93.7525072892816,97.18125,0.0,80.0,51.341146446549224,0.6417643305818653,0.8011019476832305,1.3176954442046502,1.5701309654040223,2.063501871972563,0.6267122483491905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,363,0.0699764916848352,2024-01-16,563.82,0.3945414554174383,0.022862597709288,0.000805649169572,0.0209143101448703,0.000805649169572,-0.0433011893003092,0.3894544726043566,10.000000000000002,58.68151624920744,59.12514492753623,0.0,80.0,51.341146446549224,0.6417643305818653,0.8011019476832305,1.3176954442046502,1.5701309654040223,2.063501871972563,0.0699764916848352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,364,-0.2273054092257378,2024-01-17,560.5299999999999,-1.2741150103330277,0.0253334685952535,0.0011414704973028,0.0210014112787282,0.0011414704973028,-0.1009726372059705,0.4258469731974195,8.999999999999986,48.19506328619509,46.92094827586207,0.05166774906328013,80.0,51.39281064702919,0.6424101330878649,0.8015049176941242,1.3183582708886215,1.5709207721122238,2.0645398539350746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,365,-0.0402448577259811,2024-01-18,571.07,-0.2298263090157607,0.0300510687705277,0.0008285111059015,0.0228724900124526,0.0008285111059015,0.0042221791508304,0.3954476527915487,7.999999999999968,60.38598216290244,60.18050724637683,0.0016196485733844604,80.0,50.94769205675431,0.636846150709429,0.7980264097819251,1.3126366345328613,1.5641030218843759,2.0555798113222052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,366,0.0351415190940313,2024-01-19,594.9100000000002,0.209060411242302,0.0271376246733011,0.0023371832243833,0.0218133429108236,0.0023371832243833,-0.999981233901432,1.641559074532129,27.99999999999997,114.0020486604096,114.21422077922077,0.0,80.0,50.94769205675431,0.636846150709429,0.7980264097819251,1.3126366345328613,1.5641030218843759,2.0555798113222052,0.0351415190940313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,367,0.0506991920725753,2024-01-22,596.54,0.3024409603897408,0.0288206615719799,0.0018394125670098,0.0245735548802064,0.0018394125670098,-0.9999193451344088,1.5991846523055906,25.0,83.44460365772738,83.74306666666668,0.0,79.0,50.88464728160187,0.6441094592607832,0.8025643022591917,1.3201008034328092,1.5729971277055337,2.067268647741503,0.0506991920725753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
